Local time,Open,High,Low,Close,Volume
23.02.2018 06:00:00.000 GMT-0000,1.23024,1.23208,1.22798,1.23080,47370.2207
23.02.2018 10:00:00.000 GMT-0000,1.23082,1.23175,1.22879,1.22978,47532.9296
23.02.2018 14:00:00.000 GMT-0000,1.22980,1.23183,1.22850,1.23059,55104.1807
23.02.2018 18:00:00.000 GMT-0000,1.23061,1.23062,1.22885,1.22937,30314.769500000002
25.02.2018 22:00:00.000 GMT-0000,1.22928,1.23049,1.22801,1.22975,22637.7102
26.02.2018 02:00:00.000 GMT-0000,1.22977,1.23281,1.22977,1.23281,25453.0503
26.02.2018 06:00:00.000 GMT-0000,1.23280,1.23497,1.23154,1.23431,51136.7499
26.02.2018 10:00:00.000 GMT-0000,1.23429,1.23550,1.23042,1.23042,49188.2793
26.02.2018 14:00:00.000 GMT-0000,1.23043,1.23173,1.22776,1.23077,54707.319200000005
26.02.2018 18:00:00.000 GMT-0000,1.23077,1.23198,1.23022,1.23169,20984.4898
26.02.2018 22:00:00.000 GMT-0000,1.23169,1.23369,1.23086,1.23359,22280.3699
27.02.2018 02:00:00.000 GMT-0000,1.23359,1.23426,1.23212,1.23260,23583.5703
27.02.2018 06:00:00.000 GMT-0000,1.23260,1.23462,1.23199,1.23311,44458.379400000005
27.02.2018 10:00:00.000 GMT-0000,1.23312,1.23376,1.22858,1.22874,50214.1904
27.02.2018 14:00:00.000 GMT-0000,1.22875,1.22987,1.22216,1.22476,78998.5196
27.02.2018 18:00:00.000 GMT-0000,1.22475,1.22546,1.22256,1.22328,31519.5501
27.02.2018 22:00:00.000 GMT-0000,1.22330,1.22383,1.22210,1.22296,21748.560599999997
28.02.2018 02:00:00.000 GMT-0000,1.22295,1.22337,1.22152,1.22271,26332.5699
28.02.2018 06:00:00.000 GMT-0000,1.22271,1.22412,1.21987,1.22202,50976.6503
28.02.2018 10:00:00.000 GMT-0000,1.22205,1.22298,1.22023,1.22180,55610.9609
28.02.2018 14:00:00.000 GMT-0000,1.22182,1.22282,1.21878,1.22086,65588.5214
28.02.2018 18:00:00.000 GMT-0000,1.22084,1.22144,1.21925,1.21939,33965.6304
28.02.2018 22:00:00.000 GMT-0000,1.21936,1.21989,1.21834,1.21915,21248.3398
01.03.2018 02:00:00.000 GMT-0000,1.21915,1.21983,1.21862,1.21925,21169.25
01.03.2018 06:00:00.000 GMT-0000,1.21925,1.22131,1.21799,1.21814,48664.2393
01.03.2018 10:00:00.000 GMT-0000,1.21814,1.21959,1.21627,1.21872,48516.3604
01.03.2018 14:00:00.000 GMT-0000,1.21873,1.22222,1.21546,1.22121,79445.7109
01.03.2018 18:00:00.000 GMT-0000,1.22121,1.22730,1.21865,1.22671,63158.8808
01.03.2018 22:00:00.000 GMT-0000,1.22658,1.22805,1.22618,1.22742,23277.889600000002
02.03.2018 02:00:00.000 GMT-0000,1.22745,1.22876,1.22697,1.22790,28640.539500000003
02.03.2018 06:00:00.000 GMT-0000,1.22790,1.22818,1.22514,1.22760,51698.1503
02.03.2018 10:00:00.000 GMT-0000,1.22759,1.23226,1.22745,1.23089,60808.4698
02.03.2018 14:00:00.000 GMT-0000,1.23089,1.23326,1.22970,1.23122,68405.4296
02.03.2018 18:00:00.000 GMT-0000,1.23121,1.23358,1.23120,1.23186,38877.8599
04.03.2018 22:00:00.000 GMT-0000,1.23248,1.23641,1.22995,1.23298,33887.200300000004
05.03.2018 02:00:00.000 GMT-0000,1.23299,1.23305,1.23123,1.23188,24949.790100000002
05.03.2018 06:00:00.000 GMT-0000,1.23188,1.23343,1.22688,1.23219,58443.5616
05.03.2018 10:00:00.000 GMT-0000,1.23220,1.23316,1.22840,1.23081,47268.9892
05.03.2018 14:00:00.000 GMT-0000,1.23080,1.23487,1.23020,1.23341,64666.43170000001
05.03.2018 18:00:00.000 GMT-0000,1.23341,1.23387,1.23217,1.23356,28770.390199999998
05.03.2018 22:00:00.000 GMT-0000,1.23356,1.23629,1.23319,1.23557,25262.1194
06.03.2018 02:00:00.000 GMT-0000,1.23559,1.23596,1.23429,1.23491,25759.510299999998
06.03.2018 06:00:00.000 GMT-0000,1.23489,1.23554,1.23281,1.23439,48013.0097
06.03.2018 10:00:00.000 GMT-0000,1.23442,1.24142,1.23343,1.24070,53647.7793
06.03.2018 14:00:00.000 GMT-0000,1.24073,1.24199,1.23863,1.23933,58124.3203
06.03.2018 18:00:00.000 GMT-0000,1.23932,1.24115,1.23921,1.24038,30840.9299
06.03.2018 22:00:00.000 GMT-0000,1.24037,1.24287,1.24037,1.24138,38311.0504
07.03.2018 02:00:00.000 GMT-0000,1.24140,1.24227,1.24104,1.24185,28864.810599999997
07.03.2018 06:00:00.000 GMT-0000,1.24184,1.24336,1.24039,1.24233,55155.8408
07.03.2018 10:00:00.000 GMT-0000,1.24233,1.24450,1.23978,1.24147,55233.229400000004
07.03.2018 14:00:00.000 GMT-0000,1.24147,1.24224,1.23847,1.24004,66634.2305
07.03.2018 18:00:00.000 GMT-0000,1.24005,1.24157,1.23966,1.24110,33353.6104
07.03.2018 22:00:00.000 GMT-0000,1.24108,1.24154,1.23963,1.24003,22710.5606
